time,ego_id,target_id,distance,relative_speed,camera,ultrasonic,angle,risk_score
8,1,0,79.681,0.678,0.456,0,-0.93,0.083
10,7,1,28.219,8.79,0.703,0,2.524,0.228
14,13,6,31.439,12.422,0.68,0,-1.469,0.266
15,8,5,39.646,0.788,0.627,0,-1.571,0.116
16,4,13,50.481,3.675,0.569,0,-2.744,0.139
16,4,6,46.926,6.017,0.587,0,-2.749,0.171
17,12,3,11.385,8.825,0.854,0,3.142,0.274
18,8,5,18.035,8.891,0.787,0,-1.541,0.251
18,8,6,24.348,3.483,0.732,0,-1.326,0.171
19,5,6,12.035,5.688,0.847,0,-0.422,0.234
19,5,8,11.398,6.638,0.854,0,1.62,0.248
21,5,4,7.311,0.507,0.901,0,0.357,0.201
21,5,8,11.498,1.972,0.853,0,2.001,0.192
23,0,13,62.838,2.748,0.515,0,3.014,0.118
24,10,15,18.08,0.097,0.787,0,0.0,0.145
24,10,7,3.206,3.17,0.954,1,-1.633,0.35
24,10,9,16.871,0.09,0.798,0,3.142,0.149
25,1,3,71.111,9.971,0.484,0,0.083,0.199
26,9,10,13.43,2.755,0.832,0,0.0,0.193
26,9,11,20.637,8.756,0.764,0,-2.117,0.243
26,9,2,45.843,7.786,0.593,0,1.807,0.193
26,9,5,62.057,5.613,0.518,0,-3.09,0.153
26,9,7,52.42,6.833,0.56,0,-0.061,0.175
27,1,21,11.617,8.591,0.852,0,1.571,0.27
27,1,26,20.822,8.591,0.762,0,1.075,0.24
27,1,3,47.691,5.292,0.583,0,0.468,0.161
28,11,10,17.976,3.121,0.788,0,0.118,0.182
28,11,15,30.993,2.845,0.683,0,0.068,0.152
28,11,2,72.59,4.665,0.479,0,1.538,0.135
28,11,5,27.285,3.744,0.71,0,-3.102,0.169
28,11,9,8.47,5.722,0.887,0,0.252,0.255
29,14,17,12.763,8.647,0.839,0,-2.888,0.266
29,14,25,59.574,7.667,0.528,0,2.761,0.179
31,5,10,22.721,2.098,0.746,0,0.141,0.158
31,5,15,30.722,1.326,0.685,0,0.104,0.134
31,5,8,13.069,6.536,0.836,0,3.142,0.239
31,5,9,15.288,2.284,0.813,0,0.211,0.18
32,18,10,39.16,5.679,0.63,0,3.142,0.175
32,18,15,31.529,5.25,0.679,0,3.142,0.18
32,18,19,77.032,1.251,0.464,0,-0.956,0.091
32,18,24,65.224,4.955,0.505,0,2.591,0.143
32,18,25,71.647,5.321,0.482,0,-2.391,0.143
32,18,5,61.435,5.453,0.52,0,-3.089,0.152
32,18,9,46.698,5.687,0.588,0,3.142,0.167
33,3,21,11.674,0.093,0.851,0,-1.571,0.168
34,21,11,78.868,10.019,0.458,0,-1.18,0.195
34,21,26,63.131,8.277,0.514,0,0.388,0.184
34,21,3,11.82,0.146,0.849,0,1.571,0.168
35,5,11,75.846,11.51,0.468,0,3.099,0.215
35,5,24,7.885,10.623,0.894,0,0.763,0.318
35,5,25,14.062,11.786,0.826,0,-0.885,0.298
35,5,31,30.347,5.202,0.687,0,0.0,0.181
35,5,4,54.777,5.927,0.549,0,3.142,0.162
35,5,8,7.502,0.265,0.899,0,3.142,0.197
35,5,9,14.949,0.0,0.817,0,0.216,0.154
36,29,28,37.744,3.481,0.639,0,-0.745,0.15
37,18,10,15.797,1.674,0.808,0,3.142,0.171
37,18,15,8.296,1.673,0.889,0,3.142,0.207
37,18,24,37.832,9.742,0.638,0,-2.589,0.225
37,18,25,30.292,9.411,0.688,0,2.848,0.232
37,18,31,10.134,8.105,0.868,0,-0.321,0.272
37,18,36,71.802,1.674,0.481,0,0.15,0.099
37,18,8,45.514,1.674,0.594,0,-3.071,0.12
37,18,9,23.299,1.674,0.741,0,3.142,0.152
38,4,12,40.38,4.74,0.623,0,-0.152,0.162
38,4,18,71.815,6.963,0.481,0,0.045,0.163
38,4,28,15.835,0.514,0.808,0,3.142,0.157
38,4,29,65.676,3.578,0.504,0,2.618,0.126
38,4,5,34.216,7.336,0.661,0,0.0,0.201
38,4,8,26.715,7.336,0.714,0,0.0,0.213
39,17,19,11.485,0.39,0.853,0,-2.821,0.173
40,25,26,42.693,6.418,0.61,0,1.646,0.18
40,25,27,23.863,7.319,0.736,0,1.705,0.218
40,25,8,49.876,11.587,0.572,0,-1.906,0.235
40,25,9,44.271,11.587,0.601,0,-1.442,0.24
41,3,11,12.806,1.973,0.839,0,-1.318,0.186
41,3,21,16.127,0.29,0.805,0,-1.571,0.153
41,3,29,4.309,2.455,0.939,1,0.734,0.315
41,3,33,16.73,0.592,0.799,0,1.571,0.155
42,37,25,19.857,10.899,0.77,0,-1.409,0.27
42,37,26,11.971,5.84,0.848,0,-1.571,0.236
42,37,41,17.541,0.0,0.792,0,2.227,0.146
43,24,12,20.313,0.287,0.766,0,1.571,0.142
43,24,42,23.14,11.164,0.742,0,-0.926,0.266
44,28,14,40.122,12.49,0.624,0,0.671,0.256
44,28,22,33.596,12.541,0.665,0,-0.361,0.265
44,28,4,7.525,0.342,0.899,0,0.0,0.198
44,28,5,22.527,0.345,0.747,0,0.0,0.138
44,28,8,15.026,0.345,0.816,0,0.0,0.158
44,28,9,37.266,0.345,0.641,0,0.086,0.113
45,22,10,13.457,12.467,0.832,0,0.195,0.309
45,22,14,37.397,0.58,0.641,0,1.571,0.116
45,22,15,20.867,12.467,0.762,0,0.125,0.287
45,22,18,28.325,12.467,0.702,0,0.092,0.272
45,22,40,12.89,11.121,0.838,0,-0.046,0.295
45,22,5,8.921,12.467,0.882,0,-3.075,0.332
45,22,8,16.413,12.467,0.802,0,-3.105,0.299
45,22,9,6.269,12.467,0.914,0,0.429,0.356
46,44,28,72.803,1.372,0.478,0,0.167,0.095
46,44,3,27.65,2.098,0.707,0,1.571,0.149
47,30,17,62.058,0.183,0.518,0,-1.519,0.088
47,30,20,38.942,0.483,0.631,0,1.571,0.113
47,30,31,35.418,1.645,0.653,0,-2.542,0.131
47,30,43,70.099,7.975,0.487,0,1.571,0.176
48,24,12,4.331,0.822,0.939,1,2.402,0.295
48,24,19,25.411,7.491,0.724,0,-0.266,0.217
48,24,23,71.381,6.26,0.483,0,-3.003,0.154
48,24,42,21.11,1.119,0.759,0,-0.486,0.15
49,16,20,18.779,0.34,0.78,0,-1.571,0.146
49,16,38,21.81,3.133,0.753,0,1.424,0.173
50,14,22,27.315,7.502,0.709,0,-1.571,0.214
50,14,25,25.176,0.572,0.726,0,2.769,0.135
50,14,26,65.712,0.662,0.504,0,-1.62,0.091
50,14,41,39.465,0.876,0.628,0,2.907,0.117
51,40,10,26.625,2.025,0.715,0,3.021,0.15
51,40,15,15.487,3.947,0.811,0,2.933,0.199
51,40,18,6.751,5.062,0.908,0,2.648,0.261
51,40,27,38.208,1.49,0.636,0,2.88,0.126
51,40,31,3.713,1.382,0.947,1,1.039,0.315
51,40,5,42.614,5.221,0.61,0,3.142,0.166
51,40,8,50.115,5.221,0.571,0,3.142,0.158
51,40,9,35.2,2.4,0.654,0,3.136,0.141
52,17,16,38.188,6.209,0.636,0,1.648,0.183
52,17,18,72.706,3.111,0.478,0,3.046,0.116
52,17,20,20.068,5.583,0.769,0,1.718,0.206
52,17,30,19.383,3.745,0.775,0,2.774,0.186
52,17,46,44.977,6.656,0.597,0,2.986,0.18
53,16,17,27.057,7.755,0.711,0,-1.471,0.218
53,16,20,15.856,2.368,0.808,0,-1.571,0.179
53,16,30,31.34,1.952,0.68,0,-2.379,0.141
53,16,31,65.445,9.218,0.505,0,-2.804,0.194
53,16,38,78.597,3.915,0.459,0,1.65,0.122
54,48,16,73.283,4.83,0.476,0,-1.571,0.136
54,48,38,18.108,5.69,0.786,0,2.433,0.212
54,48,43,11.777,1.836,0.85,0,-1.571,0.189
55,54,10,20.543,8.195,0.764,0,0.828,0.236
55,54,15,20.517,2.553,0.765,0,0.0,0.169
55,54,18,37.722,1.62,0.639,0,0.0,0.128
55,54,26,16.104,0.185,0.805,0,0.844,0.152
55,54,27,12.278,0.138,0.844,0,0.379,0.166
55,54,28,17.794,0.0,0.789,0,-2.961,0.145
55,54,31,46.979,1.196,0.587,0,0.0,0.113
55,54,37,23.138,1.178,0.742,0,1.09,0.146
55,54,4,10.502,0.0,0.864,0,-2.832,0.173
55,54,46,56.029,0.937,0.543,0,0.0,0.102
55,54,5,5.935,0.0,0.918,1,-0.569,0.26
55,54,8,4.062,0.0,0.943,1,-2.234,0.29
55,54,9,23.112,5.402,0.743,0,-1.089,0.197
56,31,15,27.458,1.353,0.708,0,-3.104,0.14
56,31,18,9.987,0.73,0.87,0,3.142,0.185
56,31,26,36.879,1.149,0.644,0,2.815,0.124
56,31,27,34.504,1.325,0.659,0,3.01,0.129
56,31,33,79.725,10.253,0.455,0,-3.101,0.198
56,31,4,55.724,1.35,0.545,0,-3.084,0.107
56,31,46,9.097,0.048,0.88,0,0.0,0.182
56,31,9,43.843,4.663,0.603,0,-2.493,0.158
57,21,25,38.821,0.102,0.632,0,0.723,0.109
58,3,44,33.732,6.805,0.664,0,-1.183,0.196
58,3,45,20.208,4.347,0.767,0,-1.571,0.191
59,44,12,78.849,8.887,0.458,0,0.113,0.182
59,44,45,22.367,3.471,0.749,0,2.889,0.175
59,44,47,72.935,1.933,0.478,0,0.0,0.102
59,44,50,79.366,2.702,0.457,0,1.805,0.107
60,52,14,3.638,4.091,0.948,1,2.067,0.349
60,52,21,22.937,0.787,0.744,0,-3.06,0.142
60,52,22,21.2,7.086,0.759,0,0.152,0.221
60,52,25,16.585,1.657,0.801,0,2.947,0.168
60,52,29,52.202,2.768,0.561,0,0.0,0.127
60,52,36,74.355,3.324,0.473,0,-0.106,0.117
60,52,41,26.253,1.656,0.717,0,-3.021,0.146
61,17,40,6.52,0.825,0.911,0,-2.944,0.213
61,17,43,34.703,7.01,0.658,0,1.586,0.197
61,17,48,52.69,5.689,0.559,0,1.581,0.161
61,17,55,39.23,7.098,0.63,0,1.503,0.192
61,17,57,17.81,2.174,0.789,0,1.421,0.171
62,46,15,12.075,6.391,0.847,0,-0.268,0.242
62,46,19,23.506,3.607,0.739,0,-2.936,0.175
62,46,23,74.37,4.613,0.473,0,-1.904,0.133
62,46,27,27.119,3.546,0.711,0,2.975,0.167
62,46,30,13.151,0.172,0.835,0,0.0,0.163
62,46,31,12.094,0.177,0.846,0,3.142,0.167
62,46,33,60.133,1.62,0.526,0,-3.088,0.106
62,46,36,73.164,8.264,0.477,0,1.956,0.177
62,46,37,33.568,3.537,0.665,0,2.53,0.157
62,46,4,41.772,2.335,0.615,0,-3.065,0.132
62,46,40,66.787,3.49,0.5,0,-0.048,0.124
62,46,8,33.366,3.482,0.666,0,-3.046,0.156
62,46,9,79.392,4.138,0.456,0,-1.924,0.124
63,36,26,43.129,12.912,0.607,0,-1.571,0.257
63,36,29,42.66,9.102,0.61,0,1.759,0.212
63,36,37,35.628,12.911,0.652,0,-1.571,0.266
63,36,5,6.489,2.329,0.911,0,-1.055,0.231
64,54,35,13.818,8.607,0.828,0,3.019,0.261
64,54,41,63.672,0.462,0.511,0,1.797,0.09
64,54,50,3.753,1.961,0.947,1,-1.021,0.321
65,51,55,4.625,7.813,0.935,1,-0.807,0.373
66,5,27,77.975,11.19,0.461,0,-1.602,0.21
66,5,29,5.09,5.146,0.929,1,2.251,0.333
66,5,38,17.075,11.189,0.796,0,1.472,0.281
66,5,52,42.356,3.233,0.611,0,2.795,0.142
66,5,59,22.488,11.067,0.748,0,2.244,0.266
67,54,25,57.965,11.71,0.535,0,1.727,0.229
67,54,28,70.345,0.1,0.487,0,-0.046,0.081
67,54,35,8.593,0.113,0.886,0,2.944,0.186
68,67,35,15.598,0.0,0.81,0,1.533,0.152
68,67,41,39.017,8.928,0.631,0,1.571,0.214
68,67,50,55.98,9.795,0.544,0,0.192,0.208
68,67,54,16.536,0.057,0.801,0,0.998,0.149
69,37,17,75.289,5.22,0.47,0,-0.259,0.14
69,37,18,27.276,8.182,0.71,0,1.453,0.222
69,37,19,69.064,8.198,0.491,0,-0.331,0.179
69,37,20,33.881,3.568,0.663,0,-0.605,0.157
